YearBuilt,YearRemodeled,Condition,FinSqFt,Cooling,FP_Open,Bedroom,FullBath,HalfBath,TotalRooms,LotSize,LandValue,ImprovementsValue,TotalValue,LastSalePrice,LastSaleDate,ESDistrict,MSDistrict,HSDistrict,CensusTract,Age,Remodeled,FP
1992,NA,Average,1332,Central Air,1,3,3,0,7,0,79800,277300,357100,0,05/24/2004,Agnor-Hurt,Burley,Albemarle,106.02,30,0,1
1994,NA,Average,1364,Central Air,1,2,2,1,5,0.098,79800,226400,306200,179500,03/03/2003,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1994,NA,Average,1379,Central Air,1,2,2,1,5,0,72500,222300,294800,235000,10/01/2018,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1994,NA,Average,1364,Central Air,1,2,2,1,5,0,79800,226400,306200,0,11/06/2019,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1997,NA,Average,1045,Central Air,1,1,2,0,5,0.09,79800,236100,315900,0,01/14/2000,Agnor-Hurt,Burley,Albemarle,106.02,25,0,1
1997,NA,Average,1507,Central Air,1,2,3,1,6,0.05,72500,279800,352300,299000,07/01/2021,Agnor-Hurt,Burley,Albemarle,106.02,25,0,1
1997,NA,Average,1507,Central Air,1,3,2,1,6,0.05,72500,254800,327300,253000,02/11/2005,Agnor-Hurt,Burley,Albemarle,106.02,25,0,1
1997,NA,Average,1045,Central Air,1,2,2,0,6,0.089,79800,235600,315400,149950,02/21/1997,Agnor-Hurt,Burley,Albemarle,106.02,25,0,1
1997,NA,Average,1045,Central Air,1,2,2,0,6,0.089,79800,234400,314200,245000,05/26/2011,Agnor-Hurt,Burley,Albemarle,106.02,25,0,1
1997,NA,Average,1648,Central Air,1,2,2,1,5,0.05,72500,254800,327300,139950,09/25/1997,Agnor-Hurt,Burley,Albemarle,106.02,25,0,1
1997,NA,Average,2065,Central Air,1,2,2,1,6,0.05,72500,266000,338500,257900,05/25/2017,Agnor-Hurt,Burley,Albemarle,106.02,25,0,1
1997,NA,Average,1045,Central Air,1,2,2,0,6,0.089,79800,233200,313000,254900,07/20/2015,Agnor-Hurt,Burley,Albemarle,106.02,25,0,1
1994,NA,Average,1364,Central Air,1,2,2,1,5,0.089,79800,226400,306200,0,03/08/2019,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1994,NA,Good,1465,Central Air,1,2,2,1,5,0.036,72500,253200,325700,270000,04/01/2021,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1994,NA,Average,1364,Central Air,1,2,2,1,5,0.11,79800,226400,306200,222000,04/16/2015,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1997,NA,Average,1045,Central Air,1,2,2,0,6,0.118,79800,233100,312900,158500,03/15/2000,Agnor-Hurt,Burley,Albemarle,106.02,25,0,1
1997,NA,Average,1498,Central Air,1,2,2,1,5,0.045,72500,253200,325700,285000,03/23/2020,Agnor-Hurt,Burley,Albemarle,106.02,25,0,1
1997,NA,Average,1507,Central Air,1,3,2,1,6,0.045,72500,254300,326800,229000,07/03/2012,Agnor-Hurt,Burley,Albemarle,106.02,25,0,1
1997,NA,Average,1507,Central Air,1,2,2,1,5,0.045,72500,265300,337800,286000,07/15/2015,Agnor-Hurt,Burley,Albemarle,106.02,25,0,1
1997,NA,Average,1045,Central Air,1,2,2,1,5,0.091,79800,246300,326100,325000,11/30/2021,Agnor-Hurt,Burley,Albemarle,106.02,25,0,1
2000,NA,Average,1487,Central Air,1,3,2,1,6,0.088,79800,240700,320500,219500,04/14/2004,Agnor-Hurt,Burley,Albemarle,106.02,22,0,1
2000,NA,Average,1373,Central Air,1,2,2,1,5,0.043,72500,224900,297400,0,03/03/2020,Agnor-Hurt,Burley,Albemarle,106.02,22,0,1
2000,NA,Average,1488,Central Air,1,3,2,1,6,0.043,72500,236800,309300,0,12/12/2007,Agnor-Hurt,Burley,Albemarle,106.02,22,0,1
2000,NA,Average,1070,Central Air,1,2,2,0,4,0.099,79800,204500,284300,155000,03/26/2014,Agnor-Hurt,Burley,Albemarle,106.02,22,0,1
1998,NA,Average,1521,Central Air,1,2,2,1,6,0.129,79800,245700,325500,0,05/22/2018,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,1758,Central Air,1,3,2,1,6,0.054,72500,267300,339800,229900,06/12/2013,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,1758,Central Air,1,3,2,1,6,0.054,76100,267300,343400,132950,07/27/1998,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,1521,Central Air,1,2,2,1,5,0.092,79800,245700,325500,321300,02/11/2022,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,1521,Central Air,1,2,2,1,5,0.08,79800,245700,325500,232000,02/11/2005,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,1758,Central Air,1,3,2,1,6,0.054,72500,267300,339800,254500,09/10/2015,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,1758,Central Air,1,3,2,1,6,0.054,72500,262700,335200,285000,02/12/2021,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,1521,Central Air,1,2,2,1,5,0.079,79800,245700,325500,0,06/01/2018,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1996,NA,Fair,1075,Central Air,1,2,2,1,5,0.103,79800,206000,285800,294000,01/28/2022,Agnor-Hurt,Burley,Albemarle,106.02,26,0,1
1996,NA,Average,1349,Central Air,1,2,2,1,5,0.048,72500,253200,325700,195000,02/27/2015,Agnor-Hurt,Burley,Albemarle,106.02,26,0,1
1996,NA,Good,1453,Central Air,1,3,3,1,8,0.046,72500,296000,368500,285000,07/15/2019,Agnor-Hurt,Burley,Albemarle,106.02,26,0,1
1996,NA,Average,1236,Central Air,1,2,3,0,5,0.091,79800,258300,338100,225000,07/17/2003,Agnor-Hurt,Burley,Albemarle,106.02,26,0,1
1996,NA,Average,1083,Central Air,1,2,2,1,5,0.081,79800,245200,325000,270000,05/25/2016,Agnor-Hurt,Burley,Albemarle,106.02,26,0,1
1996,NA,Average,1390,Central Air,1,3,3,1,7,0.044,72500,259300,331800,0,07/30/2009,Agnor-Hurt,Burley,Albemarle,106.02,26,0,1
1996,NA,Average,1083,Central Air,1,2,2,1,6,0.11,79800,244000,323800,275000,01/09/2014,Agnor-Hurt,Burley,Albemarle,106.02,26,0,1
1996,NA,Average,1626,Central Air,1,2,3,1,6,0.085,79800,282400,362200,194900,05/07/2002,Agnor-Hurt,Burley,Albemarle,106.02,26,0,1
1996,NA,Average,1450,Central Air,1,3,2,1,7,0.046,72500,256100,328600,0,02/28/2020,Agnor-Hurt,Burley,Albemarle,106.02,26,0,1
1996,NA,Average,1625,Central Air,1,3,3,1,8,0.135,79800,313200,393000,179200,05/15/1998,Agnor-Hurt,Burley,Albemarle,106.02,26,0,1
1994,NA,Average,1236,Central Air,1,2,2,1,6,0.094,79800,266100,345900,146500,11/01/1994,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1994,NA,Average,1336,Central Air,1,2,2,1,5,0.045,72500,228800,301300,219900,11/30/2004,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1995,NA,Average,1443,Central Air,1,3,3,1,7,0.045,72500,258500,331000,0,02/16/2018,Agnor-Hurt,Burley,Albemarle,106.02,27,0,1
1994,NA,Average,1202,Central Air,1,2,3,1,6,0.036,68900,228400,297300,0,11/12/2021,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1994,NA,Average,1202,Central Air,1,2,3,1,6,0.036,72500,228600,301100,0,09/26/2019,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1994,NA,Average,1443,Central Air,1,3,3,1,7,0.044,72500,263700,336200,260000,07/01/2005,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1994,NA,Average,1336,Central Air,1,2,3,1,6,0.044,72500,252100,324600,245200,03/15/2018,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1994,NA,Good,1236,Central Air,1,2,2,1,7,0.1,79800,304400,384200,384500,12/03/2021,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1994,NA,Average,1079,Central Air,1,1,2,1,4,0,79800,249900,329700,275725,06/15/2016,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1994,NA,Average,1415,Central Air,1,3,2,1,6,0,72500,237900,310400,254900,06/13/2017,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1994,NA,Average,1202,Central Air,1,2,2,1,5,0,72500,210500,283000,320000,04/12/2022,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1994,NA,Average,1315,Central Air,1,2,2,1,5,0,72500,226200,298700,206400,09/17/2004,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1994,NA,Average,1182,Central Air,1,2,2,1,7,0,79800,261000,340800,271000,05/22/2017,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1994,NA,Average,1236,Central Air,1,2,3,0,6,0.091,79800,264100,343900,143433,03/15/1994,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1994,NA,Average,1710,Central Air,1,6,2,1,6,0,79800,279900,359700,0,05/03/2007,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1994,NA,Average,1196,Central Air,1,2,3,1,6,0,72500,231100,303600,256000,07/11/2005,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1994,NA,Average,1710,Central Air,1,1,2,1,4,0,79800,279900,359700,148950,06/30/2000,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1994,NA,Good,1236,Central Air,1,2,3,0,7,0,79800,300000,379800,385000,09/17/2021,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1993,NA,Average,1236,Central Air,1,2,3,0,7,0,79800,271600,351400,0,05/19/1999,Agnor-Hurt,Burley,Albemarle,106.02,29,0,1
1993,NA,Average,1336,Central Air,1,3,3,1,6,0,72500,253800,326300,239000,04/24/2017,Agnor-Hurt,Burley,Albemarle,106.02,29,0,1
1993,NA,Average,1336,Central Air,1,3,3,1,6,0,72500,254900,327400,250000,01/23/2019,Agnor-Hurt,Burley,Albemarle,106.02,29,0,1
1993,NA,Average,1332,Central Air,1,3,3,0,7,0,79800,279200,359000,279000,07/08/2013,Agnor-Hurt,Burley,Albemarle,106.02,29,0,1
1993,NA,Average,1236,Central Air,1,2,3,0,6,0,79800,263300,343100,0,11/12/2008,Agnor-Hurt,Burley,Albemarle,106.02,29,0,1
1993,NA,Average,1336,Central Air,1,2,3,1,6,0,72500,254900,327400,0,03/27/2009,Agnor-Hurt,Burley,Albemarle,106.02,29,0,1
1993,NA,Average,1336,Central Air,1,2,3,1,6,0,72500,254900,327400,0,11/09/2018,Agnor-Hurt,Burley,Albemarle,106.02,29,0,1
1993,NA,Average,1236,Central Air,1,2,3,0,6,0,79800,265300,345100,0,07/14/2017,Agnor-Hurt,Burley,Albemarle,106.02,29,0,1
2000,NA,Average,1486,Central Air,1,3,2,1,6,0.061,79800,236200,316000,0,03/03/2020,Agnor-Hurt,Burley,Albemarle,106.02,22,0,1
2000,NA,Average,1346,Central Air,1,2,2,1,4,0.041,72500,217400,289900,249000,03/11/2020,Agnor-Hurt,Burley,Albemarle,106.02,22,0,1
2000,NA,Average,1202,Central Air,1,2,2,1,5,0.033,72500,200100,272600,0,06/19/2020,Agnor-Hurt,Burley,Albemarle,106.02,22,0,1
2000,NA,Average,1488,Central Air,1,2,2,1,5,0.041,72500,232400,304900,194900,03/28/2014,Agnor-Hurt,Burley,Albemarle,106.02,22,0,1
2000,NA,Average,1373,Central Air,1,2,2,1,4,0.041,72500,220700,293200,247000,09/19/2006,Agnor-Hurt,Burley,Albemarle,106.02,22,0,1
2000,NA,Average,1070,Central Air,1,2,2,0,5,0.081,79800,202900,282700,0,09/09/2014,Agnor-Hurt,Burley,Albemarle,106.02,22,0,1
2000,NA,Average,1487,Central Air,1,3,2,1,6,0.061,79800,236300,316100,228000,08/11/2014,Agnor-Hurt,Burley,Albemarle,106.02,22,0,1
2000,NA,Average,1373,Central Air,1,2,2,1,5,0.041,72500,220700,293200,297000,07/23/2021,Agnor-Hurt,Burley,Albemarle,106.02,22,0,1
2000,NA,Average,1487,Central Air,1,0,2,1,6,0.041,72500,232300,304800,245000,10/16/2017,Agnor-Hurt,Burley,Albemarle,106.02,22,0,1
2000,NA,Average,1202,Central Air,1,2,2,1,5,0.033,72500,200100,272600,NA,11/06/2020,Agnor-Hurt,Burley,Albemarle,106.02,22,0,1
2000,NA,Average,1388,Central Air,1,2,2,1,5,0.041,72500,222700,295200,200000,04/16/2020,Agnor-Hurt,Burley,Albemarle,106.02,22,0,1
2000,NA,Average,1488,Central Air,1,3,2,1,6,0.041,72500,232400,304900,240000,12/22/2005,Agnor-Hurt,Burley,Albemarle,106.02,22,0,1
2000,NA,Average,1070,Central Air,1,2,2,0,4,0.082,79800,202900,282700,241000,06/01/2007,Agnor-Hurt,Burley,Albemarle,106.02,22,0,1
1998,NA,Average,1487,Central Air,1,3,2,1,6,0.06,79800,235800,315600,303000,04/28/2021,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,1373,Central Air,1,2,2,1,5,0.041,72500,220400,292900,0,02/22/2006,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,1202,Central Air,1,2,2,1,4,0.033,72500,199500,272000,0,06/30/2021,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,1488,Central Air,1,3,2,1,6,0.041,72500,232000,304500,276000,12/17/2020,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,1070,Central Air,1,2,2,0,4,0.082,79800,200600,280400,0,10/19/2016,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1999,NA,Average,1098,Central Air,1,3,3,0,7,0.082,79800,248600,328400,179223,09/03/1999,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1487,Central Air,1,3,2,1,6,0.041,72500,245900,318400,176500,02/12/2002,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1372,Central Air,1,2,3,1,5,0.041,72500,240200,312700,210000,07/17/2013,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1372,Central Air,1,2,2,1,6,0.041,72500,252400,324900,275000,08/01/2006,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1202,Central Air,1,2,2,1,5,0.033,72500,211000,283500,315000,01/26/2022,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1372,Central Air,1,2,2,1,5,0.041,72500,234500,307000,227500,06/27/2014,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1487,Central Air,1,3,2,1,6,0.041,72500,235500,308000,257000,10/27/2020,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1487,Central Air,1,3,2,1,6,0.06,79800,241500,321300,235000,05/28/2015,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1998,NA,Average,1070,Central Air,1,3,3,0,6,0.082,79800,241300,321100,292900,06/15/2006,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,1487,Central Air,1,3,2,2,6,0.041,72500,264200,336700,340000,11/10/2021,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,1202,Central Air,1,2,2,1,5,0.033,72500,223100,295600,192500,03/14/2003,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,1372,Central Air,1,2,3,1,7,0.041,72500,250300,322800,263500,06/21/2010,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,1488,Central Air,1,3,3,1,6,0.058,79800,264500,344300,255000,03/13/2017,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1999,NA,Good,1488,Central Air,1,3,2,1,6,0.058,79800,259300,339100,NA,12/29/2020,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1488,Central Air,1,3,2,1,6,0.041,72500,233900,306400,0,12/18/2020,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1373,Central Air,1,2,2,1,5,0.041,72500,222200,294700,295000,06/30/2021,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1202,Central Air,1,2,2,1,5,0.033,72500,203000,275500,240000,06/17/2019,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1487,Central Air,1,4,3,1,8,0.041,72500,272700,345200,345000,09/29/2021,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1372,Central Air,1,3,3,1,7,0.041,72500,251400,323900,151175,06/24/1999,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1488,Central Air,1,3,3,1,7,0.041,72500,272500,345000,0,04/25/2018,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1120,Central Air,2,3,3,0,6,0.082,79800,267200,347000,260000,06/01/2011,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1070,Central Air,1,2,2,0,4,0.082,79800,202900,282700,204000,09/19/2016,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1487,Central Air,1,3,2,1,6,0.041,72500,232400,304900,232500,11/20/2018,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1202,Central Air,1,2,2,1,4,0.033,72500,200000,272500,242500,03/07/2022,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1373,Central Air,1,2,2,1,5,0.041,72500,220800,293300,199000,08/12/2016,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1488,Central Air,1,3,2,1,5,0.06,79800,236500,316300,153000,07/02/2001,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1488,Central Air,1,3,2,1,6,0.066,79800,237900,317700,220000,09/30/2004,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1373,Central Air,1,2,2,1,5,0.041,72500,221700,294200,204000,05/30/2014,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1487,Central Air,1,3,2,1,6,0.041,72500,232300,304800,0,02/10/2015,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1202,Central Air,1,2,2,1,5,0.041,72500,199900,272400,189000,06/05/2015,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1373,Central Air,1,2,2,1,5,0.041,72500,220700,293200,155000,10/18/2002,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,1070,Central Air,1,2,2,0,5,0.067,79800,202900,282700,0,05/05/2020,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1998,NA,Average,3071,Central Air,2,4,4,1,12,0.62,160000,463400,623400,555000,06/04/2019,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,3443,Central Air,2,5,3,1,12,0.251,160000,602000,762000,435000,10/30/2001,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,2021,Good,2560,Central Air,2,4,2,1,8,0.258,160000,353900,513900,272650,08/14/1998,Agnor-Hurt,Burley,Albemarle,106.02,24,1,1
1998,NA,Average,2931,Central Air,3,4,3,1,10,0.311,160000,470000,630000,525000,08/03/2009,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,2712,Central Air,1,4,2,1,8,0.294,160000,361200,521200,287000,02/27/1998,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,2929,Central Air,1,4,3,1,9,0.312,160000,453900,613900,0,03/25/2021,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1999,NA,Average,2722,Central Air,1,3,2,1,8,0.333,160000,391400,551400,0,08/01/2011,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1998,NA,Average,2469,Central Air,1,4,2,1,8,0.356,160000,350400,510400,289725,10/15/1998,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,2681,Central Air,1,4,3,1,9,0.443,160000,397000,557000,0,02/16/2021,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,2412,Central Air,1,4,3,1,10,0.483,160000,366500,526500,495000,10/02/2015,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1997,NA,Average,2264,Central Air,1,5,2,1,9,0.465,160000,306100,466100,235460,12/01/1997,Agnor-Hurt,Burley,Albemarle,106.02,25,0,1
1997,NA,Average,3014,Central Air,1,5,3,1,12,0.408,160000,467900,627900,540000,04/14/2017,Agnor-Hurt,Burley,Albemarle,106.02,25,0,1
1998,NA,Average,2532,Central Air,1,4,3,1,8,0.357,160000,365900,525900,484000,06/22/2017,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1999,NA,Average,2342,Central Air,1,4,3,1,9,0.331,160000,371400,531400,549000,07/12/2006,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1998,NA,Average,2212,Central Air,1,3,2,0,7,0.314,160000,335700,495700,425000,01/16/2020,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,2758,Central Air,1,5,4,1,9,0.294,160000,437200,597200,0,07/12/2017,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1999,NA,Average,2240,Central Air,1,4,3,1,9,0.263,160000,402600,562600,404040,11/18/2003,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1998,NA,Good,2605,Central Air,1,4,2,1,9,0.252,160000,379500,539500,459000,04/06/2020,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,2314,Central Air,1,3,2,0,8,0.369,160000,363200,523200,420000,08/10/2016,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,2560,Central Air,1,4,2,1,8,0.383,160000,333100,493100,252500,07/13/1998,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1999,NA,Average,2302,Central Air,1,5,3,1,10,0.408,160000,339600,499600,0,06/26/2008,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1998,NA,Average,2784,Central Air,1,4,3,1,10,0.266,160000,401700,561700,274950,01/08/1999,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1999,NA,Average,2514,Central Air,1,4,3,1,9,0.284,160000,350900,510900,298950,05/20/1999,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1997,NA,Average,3223,Central Air,2,5,3,1,11,0.459,160000,503700,663700,320000,12/31/1997,Agnor-Hurt,Burley,Albemarle,106.02,25,0,1
1998,NA,Average,2402,Central Air,1,3,2,1,8,0.358,160000,346300,506300,256150,04/10/1998,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1997,NA,Average,2865,Central Air,1,4,3,1,9,0.407,160000,441700,601700,502500,06/24/2016,Agnor-Hurt,Burley,Albemarle,106.02,25,0,1
1998,NA,Average,2221,Central Air,1,2,2,0,7,0.4,160000,342700,502700,475000,10/10/2007,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,3024,Central Air,1,5,4,1,13,0.42,160000,502700,662700,0,10/10/2013,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1997,NA,Good,2414,Central Air,1,4,3,1,10,0.419,160000,445100,605100,530000,08/07/2019,Agnor-Hurt,Burley,Albemarle,106.02,25,0,1
1999,NA,Average,2150,Central Air,1,4,3,0,9,0.3,160000,406300,566300,480000,06/09/2016,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1998,NA,Average,2712,Central Air,1,3,3,1,9,0.231,160000,418400,578400,425000,03/03/2011,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,2274,Central Air,1,0,2,1,4,0.236,160000,309000,469000,237600,07/07/1999,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,2846,Central Air,1,5,2,1,10,0.249,160000,356800,516800,261000,08/21/1998,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1996,NA,Average,2584,Central Air,1,3,2,0,7,0.364,160000,418800,578800,0,06/17/2016,Agnor-Hurt,Burley,Albemarle,106.02,26,0,1
1996,NA,Average,3212,Central Air,1,4,3,2,10,0.312,160000,500600,660600,550000,10/25/2018,Agnor-Hurt,Burley,Albemarle,106.02,26,0,1
1995,NA,Average,2863,Central Air,1,5,3,1,11,0.381,160000,515000,675000,0,10/04/2012,Agnor-Hurt,Burley,Albemarle,106.02,27,0,1
1996,NA,Average,2786,Central Air,1,4,3,1,9,0.35,160000,482600,642600,470000,08/14/2003,Agnor-Hurt,Burley,Albemarle,106.02,26,0,1
1996,NA,Average,3021,Central Air,1,5,3,1,11,0.363,160000,524200,684200,545900,06/24/2009,Agnor-Hurt,Burley,Albemarle,106.02,26,0,1
1998,NA,Average,2694,Central Air,1,5,3,3,11,0.377,160000,517500,677500,507500,10/22/2012,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1998,NA,Average,3011,Central Air,1,4,2,1,11,0.455,160000,491400,651400,349500,05/15/1998,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1997,NA,Average,2550,Central Air,2,5,3,1,12,0.423,160000,474600,634600,615000,05/27/2021,Agnor-Hurt,Burley,Albemarle,106.02,25,0,1
1998,NA,Average,2836,Central Air,1,4,3,1,9,0.444,160000,481200,641200,339950,02/18/1998,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1995,NA,Average,2317,Central Air,1,3,2,1,6,0.42,160000,365400,525400,323000,11/19/2001,Agnor-Hurt,Burley,Albemarle,106.02,27,0,1
1996,NA,Average,2270,Central Air,2,4,3,1,11,0.368,160000,400800,560800,294000,08/27/1996,Agnor-Hurt,Burley,Albemarle,106.02,26,0,1
1999,NA,Average,2695,Central Air,1,5,3,1,10,0.444,160000,385000,545000,415000,02/18/2015,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1999,NA,Average,2490,Central Air,2,5,3,1,12,0.37,160000,373200,533200,269590,02/01/2000,Agnor-Hurt,Burley,Albemarle,106.02,23,0,1
1998,NA,Average,2568,Central Air,1,4,3,1,10,0.351,160000,364000,524000,432500,02/03/2010,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1996,NA,Average,2269,Central Air,1,4,2,1,8,0.367,160000,321700,481700,450000,07/31/2015,Agnor-Hurt,Burley,Albemarle,106.02,26,0,1
1998,NA,Average,2408,Central Air,1,4,3,1,7,0.311,160000,362100,522100,450000,07/25/2016,Agnor-Hurt,Burley,Albemarle,106.02,24,0,1
1996,NA,Average,2284,Central Air,1,4,2,1,8,0.374,160000,312500,472500,0,02/22/2017,Agnor-Hurt,Burley,Albemarle,106.02,26,0,1
1996,NA,Average,2022,Central Air,1,5,3,1,9,0.408,160000,338200,498200,400000,10/09/2012,Agnor-Hurt,Burley,Albemarle,106.02,26,0,1
1995,NA,Good,2268,Central Air,1,5,3,1,11,0.547,160000,397100,557100,518000,05/25/2018,Agnor-Hurt,Burley,Albemarle,106.02,27,0,1
1995,NA,Good,2733,Central Air,1,4,3,1,10,0.426,160000,420600,580600,406000,01/26/2012,Agnor-Hurt,Burley,Albemarle,106.02,27,0,1
1995,NA,Average,2274,Central Air,1,4,2,1,9,0.453,160000,338700,498700,247000,07/15/1997,Agnor-Hurt,Burley,Albemarle,106.02,27,0,1
1994,NA,Average,2839,Central Air,3,5,3,1,11,0.464,160000,450600,610600,515000,05/29/2009,Agnor-Hurt,Burley,Albemarle,106.02,28,0,1
1997,NA,Average,1841,Central Air,1,4,2,1,7,0.435,160000,381100,541100,565000,12/09/2021,Agnor-Hurt,Burley,Albemarle,106.02,25,0,1
